Id,Label,Description
"GV","Government troops","Government troops"
"TS","Toussaint","Toussaint, servant of Valjean at Rue Plumet"
"JA","Javert","Javert, police officer"
"MO","Montparnasse","Montparnasse, member of Patron Minette"
"TG","Théodule","Lieutenant Théodule Gillenormand, grandnephew of Gillenormand"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"GN","Gardener","Gardener, encountered by Mabeuf"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"ML","Matelotte","Matelotte, a servant at the Corinth Inn"
"QU","Claquesous","Claquesous, member of Patron-Minette"
"PL","Mother Plutarch","Mother Plutarch, housekeeper of M. Mabeuf"
"BQ","Basque","Basque, manservant to Gillenormand"
"FE","Feuilly","Feuilly, member, Friends of the ABC"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"TC","Three concierges","Three concierges"
"GL","Poor girl","Poor girl, helped by Gavroche"
"DR","Drunk coachman","Drunk Auvergnat coachman"
"CW","Concierge, Verrerie","Concierge, rue de la Verrerie"
"JP","Prouvaire","Prouvaire, member Friends of the ABC"
"MN","Magnon","Magnon, servant of Gillenormand"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"GU","Gueulemer","Gueulemer, member of Patron Minette"
"RP","Ragpicker","Ragpicker"
"SI","Sergeant, Imprimérie","Sergeant at the Imprimérie Royale post"
"XA","Older child","Older Child, son of Thénardier, raised by Magnon"
"JO","Joly","Joly, member Friends of the ABC"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"BG","Paris barber","Barber encountered by Gavroche"
"MM","M. Mabeuf","M. Mabeuf, warden of St. Sulpice, bibliophile"
"GS","Secondhand dealer","Secondhand dealer from whom Gavroche 'borrows' a pistol"
"GR","Gribier","Gribier, new gravedigger at Vaugirard cemetery"
"OS","Old soldier","Old soldier at barbershop"
"BB","Babet","Babet, member, Patron-Minette"
"CP","Card player","Man playing cards with Grantaire"
"BK","Paris baker","Baker, visted by Gavroche"
"MW","Minister's wife","Minister of agriculture's wife"
"DN","Dandy","Dandy near the barricade"
"NA","Navet","Navet, friend of Gavroche"
"GB","Gibolette","Gibolette, servant in Corinth Inn"
"HL","Mme Hucheloup","Mme Hucheloup, keeper of Corinth Inn"
"MU","Minister of agriculture","Minister of agriculture"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"XB","Younger child","Younger Child, son of Thénardier, raised by Magnon"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"BA","Bahorel","Bahorel, member, Friends of the ABC"
"BJ","Brujon","Brujon, criminal, associate of Patron-Minette"
"JV","Jean Valjean","Jean Valjean"
"MA","Marius","Marius"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"CO","Cosette","Cosette, daughter of Fantine"
"TH","Thénardier","Thénardier, innkeeper in Montfermeuil, aka Jondrette"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
