Id,Label,Description
"DM","Dowager M-s-M","Dowager in M--sur M--"
"SN","Senator","Senator, Count ***, in Digne"
"LI","Listolier","Listolier, Parisian student, lover of Dahlia"
"CV","Cravatte","Cravatte, mountain bandit"
"CB","Mountain curé","Curé in the mountains near Digne"
"CC","Cochepaille","Cochepaille, convict in the galleys with Valjean"
"ME","Mme Magloire","Mme Magloire, housekeeper to Myriel"
"KD","Door keeper","Door keeper at a Paris bindery"
"DS","Doctor M-s-M","Doctor in M--sur M-- hospital"
"MS","Mayor of Senez","Mayor of Senez"
"ID","Itinerant dentist","Itinerant dentist"
"RM","Road mender","Road mender"
"FV","Favourite","Favourite, mistress of Blachevelle"
"CK","Defense counsel","Counsel for the defense in Champmathieu's trial"
"MR","Marquise de R","Marquise de R--, inhabitant of Digne"
"BM","Bamatabois","M. Bamatabois, idler of M--sur M--"
"CA","Curé, Digne","Curé in Digne"
"CE","Arras coachman","Coachman of the mail to Arras"
"IS","Isabeau","Isabeau, baker in Faverolles"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"MH","Chastelar mayor","Mayor of Chastelar"
"PG","Petit Gervais","Petit Gervais, a chimney sweep"
"BH","Stable boy","Stable boy in Hesdin"
"BR","Brevet","Brevet, convict in the galleys with Valjean"
"KB","Kitchen boy","Kitchen boy at Labarre's inn"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M--sur M--"
"FD","Furniture seller","Secondhand dealer who sold furniture to Fantine"
"FA","Fameuil","Fameuil, Parisian student, lover of  Zéphine"
"NT","Thénardiers' neighbor","Neighbor of Thénardiers"
"PA","Prosecuting attorney","Prosecuting attorney in Champmathieu trial"
"GG","Conventionist","G--, a Convenionist"
"CH","Champmathieu","Champmathieu, accused thief mistaken for Valjean"
"FB","Barber","Barber to whom Fantine sells her hair"
"TE","German teamster","German teamster"
"MB","Mlle Baptistine","Mlle Baptistine, sister of Myriel"
"MD","Marie-Claude","Marie Claude, neighbor of the Valjeans in Faverolles"
"PO","Portress, M-s-M","Portress of JV in M--sur M"
"PD","Digne peasant","Peasant in Digne, whom Valjean asks for food"
"BI","Bailiff","Bailiff in Arras's court"
"TR","Three gendarmes","Three gendarmes, arrested Valjean"
"JA","Javert","Javert, police officer"
"SF","Factory supervisor","Supervisor in M. Madeleine's factory"
"GD","Gendarme, Digne","Gendarme in Digne"
"FN","Fantine","Fantine, mistress of Tholomyès"
"MY","Bishop Myriel","M. Myriel, Bishop of Digne"
"WI","Old woman's son","Old woman's son"
"JL","Labarre","Labarre, innkeeper in Digne"
"CL","Countess de Lô","Countess de Lô, distant relative of Myriel"
"DO","Foreman, Grasse","Distillery foreman in Grasse"
"MT","Marguerite","Marguerite, friend of Fantine in M--sur M--"
"TH","Thénardier","Thénardier, innkeeper in Montfermeuil, aka Jondrette"
"PH","Priest","A priest on the road from Digne"
"LR","Arras hotel keeper","Landlady at an Arras hotel"
"CN","Chenildieu","Chenildieu, convict in the galleys with Valjean"
"FM","Fisherman","Fisherman in Digne"
"HD","Hospital director","Hospital director in Digne"
"PT","Postillion","Postillion, accompanying Valjean to Arras"
"RA","Arras resident","Resident of Arras"
"KT","Tavern keeper","Tavern keeper in Digne"
"VI","Mme Victurnien","Mme Victurnien, snoop in M--sur M--"
"JN","Sister's son","Youngest son of Valjean's sister"
"BW","Wheelright","Master Bourgaillard, wheelright"
"CO","Cosette","Cosette, daughter of Fantine"
"JU","Judge","Judge at the Arras court"
"WH","Old woman","Old woman in Hesdin"
"WB","Waiter","Waiter at Bombarda"
"SM","Hospital servant","Servant at the hospital in M--sur M--"
"SE","Saint Pol Servant girl","Servant girl in Saint Pol"
"FL","Landlord","Fantine's landlord"
"DA","Dahlia","Dahlia, mistress of Listolier"
"BL","Blachevelle","Blachevelle, Parisian student, lover of Favourite"
"SS","Sister Simplice","Sister Simplice, nun at infirmary in M--sur M--"
"PR","Prison guard","Prison guard"
"AA","Arras lawyer","Lawyer in Arras's court"
"SP","Sister Perpétue","Sister Perpétue, nun at infirmary in M--sur M--"
"ZE","Zephine","Zephine, mistress of Fameuil"
"IK","Innkeeper's wife","Innkeeper's wife at Saint Pol"
"JV","Jean Valjean","Jean Valjean"
"JM","Valjean's sister","Jeanne, sister of Valjean"
"FT","Tholomyès,","Tholomyès, Parisian student, lover of Fantine"
"JD","Jailer, Digne","Jailer in the prison of Digne"
"SC","M. Scaufflaire","M. Scaufflaire, keeper of horses and coaches in M--sur M--"
"CD","Condemned to death","Man condemned to death"
"GE","Géborand","Géborand, retired merchant of Digne"
"SB","Shepherd boy","Shepherd boy, serves G-- the conventionist"
"BC","Booking clerk","Booking clerk in Arras's court"
"MC","Champtercier","Marquis de Champtercier, ultra-royalist in Digne"
"PE","Peasant's wife","Peasant's wife"
"SG","Police sergeant M-s-Mer","Police sergeant in M--sur M--"
"NP","Napoleon","Napoleon, Emperor of France"
