Id,Label,Description
"MM","M. Mabeuf","M. Mabeuf, warden of St. Sulpice, bibliophile"
"QU","Claquesous","Claquesous, member of Patron-Minette"
"BU","Mme Burgon","Mme Burgon (aka Bougon), new concierge at the Gorbeau tenement"
"GP","Colonel Pontmercy","Colonel George Pontmercy, Marius's father"
"AM","Abbé Mabeuf","Abbé Mabeuf, curé in Vernon, brother of M. Mabeuf"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
"MV","Mlle Vaubois","Mlle Vaubois, friend of Mlle Gillenormand"
"BJ","Brujon","Brujon, criminal, associate of Patron-Minette"
"MN","Magnon","Magnon, servant of Gillenormand"
"BB","Babet","Babet, member, Patron-Minette"
"JO","Joly","Joly, member Friends of the ABC"
"CG","Parisian coachman","Coachman by Gorbeau tenement"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"MP","Mme Pontmercy","Mme Pontmercy, younger daughter of Gillenormand"
"BA","Bahorel","Bahorel, member, Friends of the ABC"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"CO","Cosette","Cosette, daughter of Fantine"
"LA","Count Lamothe","Count Lamothe, member of Baroness de T's salon"
"PS","Porter, r. de l'Ouest","Porter, rue de l'Ouest"
"JA","Javert","Javert, police officer"
"NP","Napoleon","Napoleon, Emperor of France"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"PN","Panchaud","Panchaud, a criminal aka as Printanier, Bigrenaille"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"DV","Doctor, Vernon","Doctor in Vernon"
"JV","Jean Valjean","Jean Valjean"
"GU","Gueulemer","Gueulemer, member of Patron Minette"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"FT","Tholomyès,","Tholomyès, Parisian student, lover of Fantine"
"PL","Mother Plutarch","Mother Plutarch, housekeeper of M. Mabeuf"
"BT","Baroness de T","Baroness de T--, friend of M. Gillenormand"
"DU","Deuxmilliards","Deux-millards, aka Demi-liard, a criminal"
"TG","Théodule","Lieutenant Théodule Gillenormand, grandnephew of Gillenormand"
"WP","Pontmercy's servant","Woman servant to Colonel Pontmercy"
"MA","Marius","Marius"
"SR","Marius's servant","Servant to Marius at Garbeau tenement"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"TH","Thénardier","Thénardier, innkeeper in Montfermeuil, aka Jondrette"
