Source,Target,Type,Id,Label
"CM","EN","Undirected","1","5.1.2"
"CR","EN","Undirected","2","5.1.2"
"EN","FE","Undirected","3","5.1.2"
"EN","JO","Undirected","4","5.1.2"
"BO","EN","Undirected","5","5.1.2"
"CM","CR","Undirected","6","5.1.2"
"CM","FE","Undirected","7","5.1.2"
"CM","JO","Undirected","8","5.1.2"
"BO","CM","Undirected","9","5.1.2"
"CR","FE","Undirected","10","5.1.2"
"CR","JO","Undirected","11","5.1.2"
"BO","CR","Undirected","12","5.1.2"
"FE","JO","Undirected","13","5.1.2"
"BO","FE","Undirected","14","5.1.2"
"BO","JO","Undirected","15","5.1.2"
"EN","WA","Undirected","16","5.1.3"
"CM","EN","Undirected","17","5.1.4"
"EN","IW","Undirected","18","5.1.4"
"CM","IW","Undirected","19","5.1.4"
"IW","MA","Undirected","20","5.1.4"
"EN","MA","Undirected","21","5.1.4"
"CM","MA","Undirected","22","5.1.4"
"CR","MA","Undirected","23","5.1.4"
"IW","MA","Undirected","24","5.1.4"
"CM","EN","Undirected","25","5.1.4"
"CR","EN","Undirected","26","5.1.4"
"EN","IW","Undirected","27","5.1.4"
"CM","CR","Undirected","28","5.1.4"
"CM","IW","Undirected","29","5.1.4"
"CR","IW","Undirected","30","5.1.4"
"JV","MA","Undirected","31","5.1.4"
"EN","MA","Undirected","32","5.1.4"
"EN","JV","Undirected","33","5.1.4"
"EN","JA","Undirected","34","5.1.6"
"EN","JA","Undirected","35","5.1.6"
"EN","JV","Undirected","36","5.1.6"
"JA","JV","Undirected","37","5.1.6"
"BO","EN","Undirected","38","5.1.7"
"CR","EN","Undirected","39","5.1.7"
"CM","EN","Undirected","40","5.1.7"
"BO","CR","Undirected","41","5.1.7"
"BO","CM","Undirected","42","5.1.7"
"CM","CR","Undirected","43","5.1.7"
"BO","EN","Undirected","44","5.1.7"
"CR","EN","Undirected","45","5.1.7"
"CM","EN","Undirected","46","5.1.7"
"EN","GA","Undirected","47","5.1.7"
"BO","CR","Undirected","48","5.1.7"
"BO","CM","Undirected","49","5.1.7"
"BO","GA","Undirected","50","5.1.7"
"CM","CR","Undirected","51","5.1.7"
"CR","GA","Undirected","52","5.1.7"
"CM","GA","Undirected","53","5.1.7"
"GA","MA","Undirected","54","5.1.8"
"CM","EN","Undirected","55","5.1.8"
"EN","JV","Undirected","56","5.1.9"
"EN","GA","Undirected","57","5.1.11"
"BO","JV","Undirected","58","5.1.11"
"CR","EN","Undirected","59","5.1.13"
"BO","CR","Undirected","60","5.1.14"
"BO","EN","Undirected","61","5.1.14"
"CR","GA","Undirected","62","5.1.15"
"XA","XB","Undirected","63","5.1.16"
"BX","XA","Undirected","64","5.1.16"
"BY","XA","Undirected","65","5.1.16"
"BX","XB","Undirected","66","5.1.16"
"BY","XB","Undirected","67","5.1.16"
"BX","BY","Undirected","68","5.1.16"
"XA","XB","Undirected","69","5.1.16"
"CM","EN","Undirected","70","5.1.17"
"CR","EN","Undirected","71","5.1.17"
"CM","CR","Undirected","72","5.1.17"
"CM","EN","Undirected","73","5.1.18"
"BO","EN","Undirected","74","5.1.18"
"CR","EN","Undirected","75","5.1.18"
"EN","FE","Undirected","76","5.1.18"
"BO","CM","Undirected","77","5.1.18"
"CM","CR","Undirected","78","5.1.18"
"CM","FE","Undirected","79","5.1.18"
"BO","CR","Undirected","80","5.1.18"
"BO","FE","Undirected","81","5.1.18"
"CR","FE","Undirected","82","5.1.18"
"EN","JV","Undirected","83","5.1.18"
"JA","JV","Undirected","84","5.1.18"
"JA","JV","Undirected","85","5.1.19"
"EN","MA","Undirected","86","5.1.19"
"EN","MA","Undirected","87","5.1.21"
"CR","EN","Undirected","88","5.1.21"
"BO","EN","Undirected","89","5.1.21"
"EN","FE","Undirected","90","5.1.21"
"CM","EN","Undirected","91","5.1.21"
"EN","JO","Undirected","92","5.1.21"
"CR","MA","Undirected","93","5.1.21"
"BO","MA","Undirected","94","5.1.21"
"FE","MA","Undirected","95","5.1.21"
"CM","MA","Undirected","96","5.1.21"
"JO","MA","Undirected","97","5.1.21"
"BO","CR","Undirected","98","5.1.21"
"CR","FE","Undirected","99","5.1.21"
"CM","CR","Undirected","100","5.1.21"
"CR","JO","Undirected","101","5.1.21"
"BO","FE","Undirected","102","5.1.21"
"BO","CM","Undirected","103","5.1.21"
