Id,Label,name,description,ebcU,fgcU,wtc4U,wtc5U,wtc6U,sgcU,infU,louU,optU,eigU,ebcW,fgcW,wtc4W,wtc5W,wtc6W,sgcW,infW,louW,optW,eigW,ebcUcolor,fgcUcolor,wtc4Ucolor,wtc5Ucolor,wtc6Ucolor,sgcUcolor,infUcolor,louUcolor,optUcolor,eigUcolor,ebcWcolor,fgcWcolor,wtc4Wcolor,wtc5Wcolor,wtc6Wcolor,sgcWcolor,infWcolor,louWcolor,optWcolor,eigWcolor
0.0,Thénardier,TH,"Thénardier, innkeeper in Montfermeil, aka Jondrette",1.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,#68BDD5,#99D05F,#99D05F,#99D05F,#99D05F,#E48063,#7DA5E0,#DE9159,#CF7BCE,#BBAD88,#7DA5E0,#99D05F,#99D05F,#99D05F,#99D05F,#68BDD5,#7DA5E0,#DE9159,#CF7BCE,#BBAD88
1.0,Eponine,EP,"Eponine, daughter of the Thénardiers",1.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,#68BDD5,#99D05F,#99D05F,#99D05F,#99D05F,#E48063,#7DA5E0,#DE9159,#CF7BCE,#BBAD88,#7DA5E0,#99D05F,#99D05F,#99D05F,#99D05F,#68BDD5,#7DA5E0,#DE9159,#CF7BCE,#BBAD88
2.0,Azelma,AZ,"Azelma, daughter of the Thénardiers",1.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,#68BDD5,#99D05F,#99D05F,#99D05F,#99D05F,#E48063,#7DA5E0,#DE9159,#CF7BCE,#BBAD88,#7DA5E0,#99D05F,#99D05F,#99D05F,#99D05F,#68BDD5,#7DA5E0,#DE9159,#CF7BCE,#BBAD88
3.0,M. Gillenormand,GI,"M. Gillenormand, Marius's grandfather",2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,#79D269,#DE9159,#DE9159,#DE9159,#DE9159,#CBBF54,#CDBA54,#99D05F,#65C3CC,#BBAD88,#71CF9F,#DE9159,#DE9159,#DE9159,#DE9159,#79D269,#CDBA54,#99D05F,#65C3CC,#BBAD88
4.0,Mlle Gillenormand,MG,"Mlle Gillenormand, unmarried daughter of Gillenormand",2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,#79D269,#DE9159,#DE9159,#DE9159,#DE9159,#CBBF54,#CDBA54,#99D05F,#65C3CC,#BBAD88,#71CF9F,#DE9159,#DE9159,#DE9159,#DE9159,#79D269,#CDBA54,#99D05F,#65C3CC,#BBAD88
5.0,Marius,MA,Marius,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,#68BDD5,#65C3CC,#CF7BCE,#CF7BCE,#CF7BCE,#68BDD5,#71CF9F,#99D05F,#65C3CC,#BBAD88,#E47E64,#65C3CC,#CF7BCE,#CF7BCE,#CF7BCE,#CBBF54,#71CF9F,#99D05F,#65C3CC,#BBAD88
6.0,Baroness de T,BT,"Baroness de T-, friend of M. Gillenormand",2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,1.0,#79D269,#DE9159,#DE9159,#DE9159,#DE9159,#CBBF54,#DA73CF,#99D05F,#65C3CC,#BBAD88,#71CF9F,#DE9159,#DE9159,#DE9159,#DE9159,#79D269,#DA73CF,#99D05F,#65C3CC,#BBAD88
7.0,Colonel Pontmercy,GP,"Colonel George Pontmercy, Marius's father",3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0,#E48063,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#79D269,#E47E64,#CF7BCE,#DE9159,#BBAD88,#CDBA54,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#D07AD3,#E47E64,#CF7BCE,#DE9159,#BBAD88
8.0,Abbé Mabeuf,AM,"Abbé Mabeuf, curé in Vernon, brother of M. Mabeuf",3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0,#E48063,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#79D269,#E47E64,#CF7BCE,#DE9159,#BBAD88,#CDBA54,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#D07AD3,#E47E64,#CF7BCE,#DE9159,#BBAD88
9.0,"Doctor, Vernon",DV,Doctor in Vernon,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0,#E48063,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#79D269,#E47E64,#CF7BCE,#DE9159,#BBAD88,#CDBA54,#CF7BCE,#65C3CC,#65C3CC,#65C3CC,#D07AD3,#E47E64,#CF7BCE,#DE9159,#BBAD88
