Id,Label,name,description,ebcU,fgcU,wtc4U,wtc5U,wtc6U,sgcU,infU,louU,optU,eigU,ebcW,fgcW,wtc4W,wtc5W,wtc6W,sgcW,infW,louW,optW,eigW,ebcUcolor,fgcUcolor,wtc4Ucolor,wtc5Ucolor,wtc6Ucolor,sgcUcolor,infUcolor,louUcolor,optUcolor,eigUcolor,ebcWcolor,fgcWcolor,wtc4Wcolor,wtc5Wcolor,wtc6Wcolor,sgcWcolor,infWcolor,louWcolor,optWcolor,eigWcolor
0.0,Enjolras,EN,"Enjolras, chief of Friends of the ABC",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
1.0,Combeferre,CM,"Combeferre, member, Friends of the ABC",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
2.0,Bossuet,BO,"Bossuet (Lesgle), member, Friends of the ABC",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
3.0,Courfeyrac,CR,"Courfeyrac, member, Friends of the ABC",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
4.0,Feuilly,FE,"Feuilly, member, Friends of the ABC",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
5.0,Insurgent workers,IW,Insurgent workers,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
6.0,Jean Valjean,JV,Jean Valjean,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,#86A1E0,#CF7BCE,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#CF7BCE,#65C3CC,#65C3CC,#BBAD88
7.0,Javert,JA,"Javert, police officer",1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,#86A1E0,#CF7BCE,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#65C3CC,#65C3CC,#BBAD88,#CF7BCE,#65C3CC,#65C3CC,#BBAD88
8.0,Gavroche,GA,"Gavroche, son of the Thénardiers",1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
9.0,Government troops,GV,Government troops,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,#86A1E0,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88,#CF7BCE,#DE9159,#DE9159,#DE9159,#DE9159,#BBAD88,#65C3CC,#CF7BCE,#CF7BCE,#BBAD88
